"","date","country","plant_location","industry_sector","accident_level","potential_accident_level","gender","injured_person","accident_type","year","month","accident_category"
"249",2016-11-23,"Country_01","Local_04","Mining","I","II","Male","Employee","Others",2016,"Nov","Others"
"250",2016-11-25,"Country_02","Local_07","Mining","I","II","Male","Employee","Others",2016,"Nov","Others"
"251",2016-11-28,"Country_01","Local_03","Mining","I","I","Male","Third Party","Others",2016,"Nov","Others"
"252",2016-11-29,"Country_02","Local_08","Metals","II","III","Male","Employee","Others",2016,"Nov","Others"
"253",2016-11-30,"Country_01","Local_03","Mining","I","II","Male","Third Party","Others",2016,"Nov","Others"
"254",2016-12-01,"Country_01","Local_03","Mining","I","IV","Male","Employee","Others",2016,"Dec","Others"
"255",2016-12-01,"Country_01","Local_03","Mining","I","IV","Male","Third Party","Others",2016,"Dec","Others"
"256",2016-12-08,"Country_01","Local_01","Mining","I","IV","Male","Employee","Suspended Loads",2016,"Dec","Physical Hazard"
"257",2016-12-08,"Country_01","Local_01","Mining","I","III","Male","Third Party (Remote)","Others",2016,"Dec","Others"
"258",2016-12-09,"Country_02","Local_02","Mining","II","III","Male","Third Party (Remote)","Others",2016,"Dec","Others"
"259",2016-12-10,"Country_01","Local_04","Mining","I","II","Male","Third Party","Others",2016,"Dec","Others"
"260",2016-12-12,"Country_02","Local_08","Metals","I","II","Male","Employee","Others",2016,"Dec","Others"
"261",2016-12-13,"Country_02","Local_02","Mining","I","II","Male","Third Party (Remote)","Others",2016,"Dec","Others"
"262",2016-12-12,"Country_01","Local_04","Mining","III","III","Male","Employee","Others",2016,"Dec","Others"
"263",2016-12-12,"Country_02","Local_05","Metals","I","II","Male","Third Party (Remote)","Others",2016,"Dec","Others"
"264",2016-12-13,"Country_01","Local_06","Metals","I","II","Male","Third Party","Others",2016,"Dec","Others"
"265",2016-12-15,"Country_02","Local_05","Metals","I","III","Male","Employee","Others",2016,"Dec","Others"
"266",2016-12-15,"Country_01","Local_03","Mining","III","IV","Male","Third Party","Others",2016,"Dec","Others"
"267",2016-12-16,"Country_02","Local_08","Metals","I","II","Female","Third Party","Others",2016,"Dec","Others"
"268",2016-12-19,"Country_01","Local_04","Mining","I","III","Male","Employee","Others",2016,"Dec","Others"
"269",2016-12-23,"Country_01","Local_04","Mining","II","IV","Male","Third Party","Others",2016,"Dec","Others"
"270",2016-12-22,"Country_02","Local_05","Metals","I","II","Male","Third Party","Others",2016,"Dec","Others"
"271",2016-12-22,"Country_01","Local_01","Mining","I","IV","Male","Third Party","Others",2016,"Dec","Others"
"272",2016-12-23,"Country_01","Local_03","Mining","I","III","Male","Third Party","Others",2016,"Dec","Others"
"273",2016-12-26,"Country_01","Local_06","Metals","I","II","Male","Employee","Others",2016,"Dec","Others"
"274",2016-12-28,"Country_02","Local_05","Metals","I","IV","Male","Employee","Others",2016,"Dec","Others"
"275",2016-12-30,"Country_01","Local_04","Mining","IV","V","Male","Third Party","Others",2016,"Dec","Others"
"276",2016-12-31,"Country_01","Local_04","Mining","III","IV","Male","Third Party","Others",2016,"Dec","Others"
"277",2017-01-02,"Country_01","Local_06","Metals","I","II","Male","Third Party (Remote)","Pressed",2017,"Jan","Mechanical Hazard"
"278",2017-01-05,"Country_01","Local_01","Mining","I","IV","Male","Third Party","Projection",2017,"Jan","Mechanical Hazard"
"279",2017-01-05,"Country_01","Local_03","Mining","I","III","Male","Employee","Others",2017,"Jan","Others"
"280",2017-01-06,"Country_02","Local_08","Metals","I","I","Male","Employee","Pressed",2017,"Jan","Mechanical Hazard"
"281",2017-01-07,"Country_01","Local_04","Mining","I","IV","Male","Employee","Others",2017,"Jan","Others"
"282",2017-01-08,"Country_01","Local_06","Metals","III","III","Male","Employee","Cut",2017,"Jan","Mechanical Hazard"
"283",2017-01-08,"Country_02","Local_05","Metals","II","IV","Male","Employee","Projection/Burning",2017,"Jan","Mechanical Hazard"
"284",2017-01-09,"Country_01","Local_01","Mining","I","III","Male","Third Party","Others",2017,"Jan","Others"
"285",2017-01-09,"Country_01","Local_03","Mining","I","III","Male","Employee","Others",2017,"Jan","Others"
"286",2017-01-10,"Country_03","Local_10","Others","I","IV","Male","Third Party","Fall prevention",2017,"Jan","Physical Hazard"
"287",2017-01-12,"Country_02","Local_08","Metals","I","II","Male","Third Party (Remote)","Manual Tools",2017,"Jan","Mechanical Hazard"
"288",2017-01-14,"Country_01","Local_03","Mining","I","IV","Male","Third Party","Projection",2017,"Jan","Mechanical Hazard"
"289",2017-01-17,"Country_01","Local_03","Mining","I","III","Male","Employee","remains of choco",2017,"Jan","Mechanical Hazard"
"290",2017-01-17,"Country_02","Local_08","Metals","I","IV","Male","Employee","Liquid Metal",2017,"Jan","Chemical Hazard"
"291",2017-01-17,"Country_02","Local_08","Metals","III","IV","Male","Employee","Others",2017,"Jan","Others"
"292",2017-01-20,"Country_01","Local_06","Metals","IV","IV","Male","Third Party (Remote)","Fall prevention",2017,"Jan","Physical Hazard"
"293",2017-01-20,"Country_01","Local_04","Mining","I","III","Male","Third Party","Manual Tools",2017,"Jan","Mechanical Hazard"
"294",2017-01-21,"Country_02","Local_02","Mining","I","I","Male","Third Party (Remote)","Others",2017,"Jan","Others"
"295",2017-01-23,"Country_01","Local_04","Mining","I","IV","Male","Third Party","remains of choco",2017,"Jan","Mechanical Hazard"
"296",2017-01-24,"Country_02","Local_05","Metals","I","III","Male","Third Party (Remote)","Fall",2017,"Jan","Physical Hazard"
"297",2017-01-24,"Country_03","Local_10","Others","I","I","Male","Third Party","Venomous Animals",2017,"Jan","Biological Hazard"
"298",2017-01-25,"Country_01","Local_03","Mining","V","VI","Male","Third Party","remains of choco",2017,"Jan","Mechanical Hazard"
"299",2017-01-27,"Country_01","Local_04","Mining","II","III","Male","Third Party","Others",2017,"Jan","Others"
"300",2017-01-29,"Country_01","Local_01","Mining","I","III","Male","Third Party","Vehicles and Mobile Equipment",2017,"Jan","Physical Hazard"
"301",2017-01-28,"Country_01","Local_01","Mining","I","III","Male","Employee","Vehicles and Mobile Equipment",2017,"Jan","Physical Hazard"
"302",2017-01-31,"Country_02","Local_08","Metals","I","III","Male","Employee","Others",2017,"Jan","Others"
"303",2017-01-31,"Country_01","Local_01","Mining","I","IV","Male","Employee","Vehicles and Mobile Equipment",2017,"Jan","Physical Hazard"
"304",2017-02-01,"Country_03","Local_10","Others","I","II","Male","Third Party","Projection/Choco",2017,"Feb","Mechanical Hazard"
"305",2017-02-04,"Country_02","Local_02","Mining","I","III","Male","Employee","Manual Tools",2017,"Feb","Mechanical Hazard"
"306",2017-02-05,"Country_03","Local_10","Others","I","II","Male","Employee","Others",2017,"Feb","Others"
"307",2017-02-07,"Country_01","Local_04","Mining","I","II","Male","Third Party","Others",2017,"Feb","Others"
"308",2017-02-07,"Country_01","Local_03","Mining","II","V","Male","Employee","remains of choco",2017,"Feb","Mechanical Hazard"
"309",2017-02-08,"Country_01","Local_03","Mining","II","IV","Male","Third Party","Cut",2017,"Feb","Mechanical Hazard"
"310",2017-02-08,"Country_02","Local_08","Metals","I","II","Female","Third Party","Others",2017,"Feb","Others"
"311",2017-02-08,"Country_02","Local_08","Metals","I","I","Male","Third Party (Remote)","Pressed",2017,"Feb","Mechanical Hazard"
"312",2017-02-08,"Country_01","Local_04","Mining","II","III","Male","Third Party","Cut",2017,"Feb","Mechanical Hazard"
"313",2017-02-08,"Country_01","Local_06","Metals","I","III","Male","Employee","Machine Protection",2017,"Feb","Physical Hazard"
"314",2017-02-09,"Country_01","Local_03","Mining","IV","V","Male","Third Party (Remote)","Power lock",2017,"Feb","Physical Hazard"
"315",2017-02-08,"Country_01","Local_06","Metals","I","I","Male","Third Party (Remote)","Manual Tools",2017,"Feb","Mechanical Hazard"
"316",2017-02-13,"Country_02","Local_08","Metals","II","III","Male","Employee","Pressed",2017,"Feb","Mechanical Hazard"
"317",2017-02-13,"Country_02","Local_05","Metals","I","IV","Male","Employee","Projection",2017,"Feb","Mechanical Hazard"
"318",2017-02-13,"Country_02","Local_05","Metals","III","IV","Male","Employee","Burn",2017,"Feb","Mechanical Hazard"
"319",2017-02-14,"Country_01","Local_03","Mining","IV","V","Male","Third Party","Pressed",2017,"Feb","Mechanical Hazard"
"320",2017-02-15,"Country_03","Local_10","Others","I","I","Male","Third Party","Venomous Animals",2017,"Feb","Biological Hazard"
"321",2017-02-16,"Country_01","Local_03","Mining","I","II","Female","Third Party (Remote)","Fall",2017,"Feb","Physical Hazard"
"322",2017-02-17,"Country_01","Local_04","Mining","I","III","Male","Third Party","Projection/Manual Tools",2017,"Feb","Mechanical Hazard"
"323",2017-02-17,"Country_01","Local_01","Mining","I","III","Male","Employee","Chemical substances",2017,"Feb","Chemical Hazard"
"324",2017-02-17,"Country_01","Local_01","Mining","I","IV","Male","Third Party","Projection",2017,"Feb","Mechanical Hazard"
"325",2017-02-23,"Country_01","Local_04","Mining","IV","IV","Male","Third Party","Vehicles and Mobile Equipment",2017,"Feb","Physical Hazard"
"326",2017-02-23,"Country_02","Local_07","Mining","I","III","Male","Third Party (Remote)","Venomous Animals",2017,"Feb","Biological Hazard"
"327",2017-02-25,"Country_01","Local_01","Mining","IV","IV","Male","Third Party (Remote)","Fall",2017,"Feb","Physical Hazard"
"328",2017-02-25,"Country_01","Local_01","Mining","I","III","Male","Employee","Projection",2017,"Feb","Mechanical Hazard"
"329",2017-02-25,"Country_03","Local_10","Others","I","I","Male","Third Party","Venomous Animals",2017,"Feb","Biological Hazard"
"330",2017-02-26,"Country_01","Local_01","Mining","I","III","Male","Third Party","Fall",2017,"Feb","Physical Hazard"
"331",2017-02-26,"Country_02","Local_07","Mining","I","IV","Male","Employee","Fall prevention",2017,"Feb","Physical Hazard"
"332",2017-02-27,"Country_01","Local_03","Mining","II","IV","Male","Third Party","remains of choco",2017,"Feb","Mechanical Hazard"
"333",2017-02-27,"Country_02","Local_02","Mining","III","IV","Male","Employee","Others",2017,"Feb","Others"
"334",2017-03-01,"Country_01","Local_06","Metals","I","I","Male","Third Party (Remote)","Others",2017,"Mar","Others"
"335",2017-03-02,"Country_03","Local_10","Others","I","I","Male","Third Party","Venomous Animals",2017,"Mar","Biological Hazard"
"336",2017-03-04,"Country_02","Local_02","Mining","I","V","Male","Employee","Vehicles and Mobile Equipment",2017,"Mar","Physical Hazard"
"337",2017-03-06,"Country_01","Local_04","Mining","I","III","Male","Third Party (Remote)","Fall",2017,"Mar","Physical Hazard"
"338",2017-03-08,"Country_03","Local_10","Others","I","I","Male","Third Party","Others",2017,"Mar","Others"
"339",2017-03-09,"Country_01","Local_03","Mining","I","V","Male","Third Party","Vehicles and Mobile Equipment",2017,"Mar","Physical Hazard"
"340",2017-03-08,"Country_01","Local_01","Mining","V","V","Male","Third Party","Vehicles and Mobile Equipment",2017,"Mar","Physical Hazard"
"341",2017-03-09,"Country_02","Local_05","Metals","I","III","Male","Third Party","Machine Protection",2017,"Mar","Physical Hazard"
"342",2017-03-10,"Country_01","Local_03","Mining","II","IV","Male","Third Party","Individual protection equipment",2017,"Mar","Physical Hazard"
"343",2017-03-15,"Country_03","Local_10","Others","I","I","Male","Third Party","Venomous Animals",2017,"Mar","Biological Hazard"
"344",2017-03-15,"Country_02","Local_08","Metals","II","IV","Female","Employee","Chemical substances",2017,"Mar","Chemical Hazard"
"345",2017-03-18,"Country_01","Local_03","Mining","V","V","Male","Third Party (Remote)","Power lock",2017,"Mar","Physical Hazard"
"346",2017-03-22,"Country_01","Local_06","Metals","V","V","Male","Third Party (Remote)","Power lock",2017,"Mar","Physical Hazard"
"347",2017-03-25,"Country_01","Local_03","Mining","II","V","Male","Third Party","Vehicles and Mobile Equipment",2017,"Mar","Physical Hazard"
"348",2017-03-25,"Country_03","Local_10","Others","I","I","Male","Employee","Others",2017,"Mar","Others"
"349",2017-03-31,"Country_02","Local_05","Metals","I","IV","Male","Third Party","Fall prevention",2017,"Mar","Physical Hazard"
"350",2017-04-04,"Country_02","Local_05","Metals","I","III","Male","Employee","Chemical substances",2017,"Apr","Chemical Hazard"
"351",2017-04-05,"Country_02","Local_05","Metals","I","IV","Male","Employee","Suspended Loads",2017,"Apr","Physical Hazard"
"352",2017-04-07,"Country_02","Local_02","Mining","I","III","Male","Third Party (Remote)","Others",2017,"Apr","Others"
"353",2017-04-04,"Country_03","Local_10","Others","I","I","Male","Third Party","Venomous Animals",2017,"Apr","Biological Hazard"
"354",2017-04-06,"Country_01","Local_06","Metals","I","II","Male","Third Party","Others",2017,"Apr","Others"
"355",2017-04-07,"Country_01","Local_03","Mining","I","IV","Male","Third Party","Fall prevention",2017,"Apr","Physical Hazard"
"356",2017-04-10,"Country_02","Local_02","Mining","I","II","Male","Third Party","Chemical substances",2017,"Apr","Chemical Hazard"
"357",2017-04-08,"Country_03","Local_10","Others","I","I","Male","Third Party","Venomous Animals",2017,"Apr","Biological Hazard"
"358",2017-04-11,"Country_01","Local_03","Mining","I","IV","Male","Third Party (Remote)","Electrical Shock",2017,"Apr","Electrical Hazard"
"359",2017-04-11,"Country_02","Local_07","Mining","I","II","Male","Third Party (Remote)","Others",2017,"Apr","Others"
"360",2017-04-13,"Country_01","Local_01","Mining","I","II","Male","Employee","Others",2017,"Apr","Others"
"361",2017-04-12,"Country_03","Local_10","Others","I","I","Male","Third Party","Venomous Animals",2017,"Apr","Biological Hazard"
"362",2017-04-23,"Country_01","Local_04","Mining","I","III","Male","Third Party","Others",2017,"Apr","Others"
"363",2017-04-19,"Country_03","Local_10","Others","I","IV","Male","Third Party","Others",2017,"Apr","Others"
"364",2017-04-23,"Country_01","Local_06","Metals","I","II","Male","Third Party","Projection",2017,"Apr","Mechanical Hazard"
"365",2017-04-25,"Country_03","Local_10","Others","I","I","Male","Third Party","Venomous Animals",2017,"Apr","Biological Hazard"
"366",2017-04-25,"Country_02","Local_07","Mining","IV","V","Male","Employee","remains of choco",2017,"Apr","Mechanical Hazard"
"367",2017-04-25,"Country_01","Local_01","Mining","IV","IV","Male","Employee","Pressed",2017,"Apr","Mechanical Hazard"
"368",2017-04-24,"Country_01","Local_03","Mining","I","V","Male","Employee","Others",2017,"Apr","Others"
"369",2017-04-28,"Country_02","Local_05","Metals","I","II","Male","Employee","Others",2017,"Apr","Others"
"370",2017-04-29,"Country_02","Local_02","Mining","II","III","Male","Employee","Manual Tools",2017,"Apr","Mechanical Hazard"
"371",2017-04-30,"Country_02","Local_05","Metals","I","II","Male","Employee","Others",2017,"Apr","Others"
"372",2017-05-05,"Country_02","Local_02","Mining","I","II","Male","Third Party (Remote)","Others",2017,"May","Others"
"373",2017-05-06,"Country_01","Local_01","Mining","III","IV","Male","Third Party","Manual Tools",2017,"May","Mechanical Hazard"
"374",2017-05-06,"Country_02","Local_07","Mining","IV","V","Male","Employee","Projection",2017,"May","Mechanical Hazard"
"375",2017-05-10,"Country_01","Local_04","Mining","V","V","Male","Third Party","Fall",2017,"May","Physical Hazard"
"376",2017-05-16,"Country_02","Local_05","Metals","I","III","Female","Third Party (Remote)","Cut",2017,"May","Mechanical Hazard"
"377",2017-05-16,"Country_01","Local_03","Mining","IV","IV","Male","Employee","Others",2017,"May","Others"
"378",2017-05-16,"Country_02","Local_12","Others","I","I","Male","Employee","Others",2017,"May","Others"
"379",2017-05-17,"Country_02","Local_07","Mining","I","I","Male","Employee","Cut",2017,"May","Mechanical Hazard"
"380",2017-05-18,"Country_01","Local_06","Metals","IV","IV","Male","Third Party","Pressed",2017,"May","Mechanical Hazard"
"381",2017-05-19,"Country_01","Local_06","Metals","I","II","Male","Employee","Projection",2017,"May","Mechanical Hazard"
"382",2017-05-23,"Country_01","Local_04","Mining","I","IV","Male","Third Party","Projection of fragments",2017,"May","Mechanical Hazard"
"383",2017-05-23,"Country_01","Local_03","Mining","I","IV","Male","Third Party","Others",2017,"May","Others"
"384",2017-05-30,"Country_02","Local_12","Others","I","II","Female","Employee","Others",2017,"May","Others"
"385",2017-06-04,"Country_02","Local_05","Metals","I","IV","Male","Employee","Others",2017,"Jun","Others"
"386",2017-06-09,"Country_01","Local_03","Mining","I","IV","Male","Third Party","Projection",2017,"Jun","Mechanical Hazard"
"387",2017-06-09,"Country_01","Local_06","Metals","I","III","Male","Third Party","Fall",2017,"Jun","Physical Hazard"
"388",2017-06-11,"Country_01","Local_04","Mining","I","II","Male","Third Party","Others",2017,"Jun","Others"
"389",2017-06-11,"Country_01","Local_04","Mining","I","II","Male","Employee","Pressed",2017,"Jun","Mechanical Hazard"
"390",2017-06-11,"Country_01","Local_06","Metals","I","II","Male","Third Party","Cut",2017,"Jun","Mechanical Hazard"
"391",2017-06-11,"Country_01","Local_01","Mining","I","IV","Male","Third Party","Others",2017,"Jun","Others"
"392",2017-06-14,"Country_02","Local_02","Mining","III","IV","Male","Third Party (Remote)","Pressed",2017,"Jun","Mechanical Hazard"
"393",2017-06-15,"Country_01","Local_03","Mining","I","IV","Male","Employee","Projection",2017,"Jun","Mechanical Hazard"
"394",2017-06-17,"Country_01","Local_03","Mining","II","IV","Male","Third Party","Projection",2017,"Jun","Mechanical Hazard"
"395",2017-06-18,"Country_01","Local_04","Mining","IV","IV","Male","Third Party","remains of choco",2017,"Jun","Mechanical Hazard"
"396",2017-06-24,"Country_01","Local_01","Mining","II","III","Male","Employee","Others",2017,"Jun","Others"
"397",2017-06-20,"Country_01","Local_01","Mining","I","IV","Male","Employee","Others",2017,"Jun","Others"
"398",2017-06-20,"Country_01","Local_01","Mining","I","IV","Male","Third Party","Others",2017,"Jun","Others"
"399",2017-06-24,"Country_01","Local_03","Mining","I","II","Female","Third Party","Cut",2017,"Jun","Mechanical Hazard"
"400",2017-06-23,"Country_02","Local_05","Metals","I","II","Male","Employee","Others",2017,"Jun","Others"
"401",2017-06-19,"Country_03","Local_10","Others","III","IV","Male","Third Party","Others",2017,"Jun","Others"
"402",2017-06-22,"Country_03","Local_10","Others","I","IV","Male","Employee","Others",2017,"Jun","Others"
"403",2017-06-22,"Country_03","Local_10","Others","I","I","Male","Employee","Venomous Animals",2017,"Jun","Biological Hazard"
"404",2017-06-29,"Country_02","Local_02","Mining","I","III","Male","Employee","Pressed",2017,"Jun","Mechanical Hazard"
"405",2017-07-04,"Country_01","Local_04","Mining","I","III","Male","Third Party","Others",2017,"Jul","Others"
"406",2017-07-04,"Country_01","Local_03","Mining","I","II","Female","Employee","Others",2017,"Jul","Others"
"407",2017-07-05,"Country_02","Local_09","Metals","I","II","Male","Employee","Venomous Animals",2017,"Jul","Biological Hazard"
"408",2017-07-06,"Country_02","Local_05","Metals","I","II","Male","Employee","Cut",2017,"Jul","Mechanical Hazard"
"409",2017-07-09,"Country_01","Local_04","Mining","I","II","Female","Third Party","Fall prevention (same level)",2017,"Jul","Physical Hazard"
